string_value,total
5_12,112
5_13,109
5_14,106
5_15,111
5_16,100
5_17,100
5_18,101
5_19,103
5_2,106
5_20,95
5_21,98
5_22,94
5_23,97
5_24,92
5_25,93
5_26,98
5_27,97
5_28,94
5_29,97
5_3,108
5_30,95
5_31,94
5_32,88
5_33,107
5_34,97
5_35,88
5_36,85
5_37,86
5_38,90
5_39,88
5_4,108
5_40,89
5_41,88
5_42,97
5_43,90
5_44,89
5_45,89
5_46,95
5_47,87
5_48,87
5_49,86
5_5,104
5_50,92
5_51,84
5_52,89
5_53,93
5_54,90
5_55,90
5_56,87
5_57,100
5_58,85
5_59,89
5_6,107
5_60,94
5_61,35
5_7,102
5_8,105
5_9,105
6_1,87
6_10,89
6_11,89
6_12,86
6_13,89
6_14,103
6_15,92
6_16,89
6_17,91
6_18,94
6_19,90
6_2,84
6_20,87
6_21,88
6_22,92
6_23,97
6_24,89
6_25,85
6_26,82
6_27,82
6_28,84
6_29,82
6_3,95
6_30,82
6_31,79
6_32,82
6_33,77
6_34,81
6_35,80
6_36,86
6_37,86
6_38,76
6_39,78
6_4,86
6_40,78
6_41,77
6_42,76
6_43,76
6_44,77
6_45,78
6_46,76
6_47,74
6_48,77
6_49,74
6_5,86
6_50,77
6_51,79
6_52,74
6_53,76
6_54,73
6_55,76
6_56,66
6_57,73
6_58,74
6_59,66
6_6,87
6_60,82
6_61,30
6_7,85
6_8,85
6_9,88
7_1,66
7_10,56
7_11,60
7_12,56
7_13,57
7_14,56
7_15,56
7_16,54
7_17,54
7_18,53
7_19,52
7_2,63
7_20,54
7_21,54
7_22,53
7_23,64
7_24,57
7_25,62
7_26,57
7_27,58
7_28,57
7_29,56
7_3,66
7_30,56
7_31,60
7_32,54
7_33,52
7_34,50
7_35,56
7_36,54
7_37,49
7_38,51
7_39,53
7_4,64
7_40,50
7_41,48
7_42,56
7_43,60
7_44,47
7_45,49
7_46,48
7_47,53
7_48,52
7_49,54
7_5,64
7_50,52
7_51,57
7_52,56
7_53,52
7_54,52
7_55,54
7_56,54
7_57,52
7_58,53
7_59,56
7_6,62
7_60,56
7_61,19
7_7,61
7_8,57
7_9,56
8_1,51
8_10,47
8_11,50
8_12,51
8_13,50
8_14,47
8_15,53
8_16,50
8_17,52
8_18,54
8_19,56
8_2,50
8_20,50
8_21,50
8_22,50
8_23,51
8_24,49
8_25,52
8_26,49
8_27,49
8_28,50
8_29,49
8_3,48
8_30,50
8_31,50
8_32,47
8_33,48
8_34,52
8_35,51
8_36,48
8_37,44
8_38,44
8_39,46
8_4,52
8_40,43
8_41,45
8_42,52
8_43,47
8_44,48
8_45,46
8_46,46
8_47,48
8_48,50
8_49,47
8_5,49
8_50,49
8_51,50
8_52,54
8_53,54
8_54,52
8_55,53
8_56,53
8_57,52
8_58,52
8_59,52
8_6,50
8_60,55
8_61,16
8_7,50
8_8,50
8_9,47
9000_1,225
9000_10,124
9000_11,82
9000_12,87
9000_13,78
9000_14,104
9000_15,72
9000_16,62
9000_17,71
9000_18,63
9000_19,61
9000_2,198
9000_20,56
9000_3,192
9000_4,187
9000_5,177
9000_6,122
9000_7,138
9000_8,121
9000_9,127
9001_1,77
9001_10,21
9001_11,20
9001_12,17
9001_13,18
9001_14,18
9001_15,18
9001_2,69
9001_3,65
9001_4,64
9001_5,60
9001_6,48
9001_7,39
9001_8,33
9001_9,29
9_1,46
9_10,42
9_11,47
9_12,41
9_13,42
9_14,40
9_15,41
9_16,42
9_17,42
9_18,45
9_19,47
9_2,44
9_20,43
9_21,45
9_22,45
9_23,43
9_24,43
9_25,43
9_26,42
9_27,41
9_28,42
9_29,43
9_3,43
9_30,43
9_31,43
9_32,45
9_33,44
9_34,45
9_35,44
9_36,44
9_37,43
9_38,42
9_39,42
9_4,44
9_40,42
9_41,42
9_42,43
9_43,42
9_44,43
9_45,40
9_46,39
9_47,41
9_48,40
9_49,42
9_5,45
9_50,41
9_51,47
9_52,47
9_53,41
9_54,42
9_55,44
9_56,42
9_57,42
9_58,44
9_59,46
9_6,45
9_60,54
9_61,17
9_7,44
9_8,42
9_9,46
